First_name;Last_name;Mobile_phone;Extra_phone;Birthday;Address
Ilya;Trukhin;11111111111;;;
Vasya;Pupkin;33333333333;;;
Egor;Pupkin;33333333333;;;
Mara;Zitvaa;60671317315;;24.09.1983;
Judy;Beniamino;94275310111;;04.03.2008;Fiji
Nataline;Norrie;23121411791;59116184408;04.02.1986;Portugal
Perry;Fontana;27664573649;92080705278;21.09.1903;Honduras
Jere;Havens;68996649194;;06.10.1929;
Corina;Tybald;30593458138;;09.03.2005;Indonesia
Morganica;Aloise;20321471453;;;
Thalia;Raffo;42443884346;46697288023;12.01.1925;Finland
Inga;Gerge;16328993364;64108369640;09.02.1911;French
Britni;Uund;25438498211;;08.11.1910;
Vladimir;Putin;87777777777;;;Moscow
